gender	parental level of education	test preparation course	reading score	writing score	study hours	extracurricular activities	sleep hours	internet usage	physical health	mental health
female	Uneducated	incomplete	72	74	7.141887024026623	Art	9.5938995352224	Streaming	Good	Stable
female	Master’s Degree	completed	90	88	7.812528356810211	Music	5.42085512052638	None	Poor	Anxious
female	Uneducated	incomplete	95	93	1.864380788602189	Debate	5.554229547055044	Streaming	Poor	Stable
male	Associate’s Degree	incomplete	57	44	0.6207750920335131	Drama	5.592744376954671	Online Classes	Poor	Anxious
male	High School	incomplete	78	75	4.816452357850391	incomplete	6.020009442452457	Research	Good	Anxious
female	Master’s Degree	incomplete	83	78	4.846742225157916	Debate	6.351543588154169	Research	Average	Stable
female	Master’s Degree	completed	95	92	9.249236208203882	Music	9.543424428215236	Streaming	Good	Anxious
male	Some College	incomplete	43	39	0.5042354173486618	Art	9.576041662209995	None	Poor	Stable
male	Master’s Degree	completed	64	67	2.4878710345506603	Dance	9.15167668578866	Gaming	Poor	Stable
female	Associate’s Degree	incomplete	60	50	2.388337837673812	Music	4.767494180038684	None	Good	Anxious
male	Master’s Degree	incomplete	54	52	1.583755786047375	Art	4.604513545582549	Streaming	Poor	Anxious
male	Bachelor’s Degree	incomplete	52	43	9.684168955690296	Debate	5.918464314934731	Research	Average	Anxious
female	Uneducated	incomplete	81	73	7.595170324625219	Dance	5.609629891296688	Social Media	Average	Stable
male	Master’s Degree	completed	72	70	2.9818236522650987	Art	7.553882155922969	None	Good	Stressed
female	Bachelor’s Degree	incomplete	53	58	2.0833161030589373	Music	8.654510138741019	Social Media	Poor	Stressed
female	High School	incomplete	75	78	8.509361664882908	Drama	6.28253338477022	Social Media	Good	Stressed
male	Associate’s Degree	incomplete	89	86	3.482116054809415	Debate	5.282963279713908	None	Poor	Anxious
female	Some College	incomplete	32	28	0.2067055786087501	Dance	6.461176534779919	Online Classes	Good	Anxious
male	Bachelor’s Degree	completed	42	46	6.664141418667775	incomplete	9.95401084453514	Streaming	Poor	Anxious
female	Associate’s Degree	incomplete	58	61	7.772993708956212	Sports	8.13411658175907	None	Good	Anxious
male	High School	incomplete	69	63	0.1730970725439551	Dance	7.112265753806387	Gaming	Good	Stable
female	Some College	completed	75	70	3.996126697888697	Drama	7.226452786702141	None	Average	Stressed
male	Some College	incomplete	54	53	9.3303272449536	Debate	6.858421932017834	Gaming	Poor	Stressed
female	Master’s Degree	incomplete	73	73	6.136530071308365	Music	5.646942957490966	Online Classes	Average	Stressed
male	Master’s Degree	completed	71	80	6.683481448973618	Drama	8.592160057970608	Streaming	Good	Stable
male	Uneducated	incomplete	74	72	5.587450428865313	Music	9.977574200551604	None	Average	Anxious
male	High School	incomplete	54	55	3.0505010779131734	Drama	8.613206637152413	Research	Poor	Anxious
female	Master’s Degree	incomplete	69	75	2.7956469901362624	Music	8.956165858990374	None	Poor	Stable
male	Bachelor’s Degree	incomplete	70	65	0.7033437019837574	incomplete	5.432401416069058	Research	Average	Stable
female	Master’s Degree	incomplete	70	75	1.7785032908766465	Dance	7.634730635479972	Research	Poor	Stable
female	Uneducated	incomplete	74	74	1.045576430566657	Dance	6.331829407212686	Social Media	Good	Stressed
female	Associate’s Degree	incomplete	65	61	7.532042555055622	incomplete	7.952999571258303	None	Poor	Anxious
female	Master’s Degree	incomplete	72	65	1.7945081095074111	Dance	8.603441473422308	Streaming	Good	Stable
male	Master’s Degree	incomplete	42	38	9.437635313149936	Art	4.804831665557828	Research	Good	Stable
male	Some College	incomplete	87	82	5.694671261424908	Drama	4.08809233648918	None	Good	Stable
male	Some College	completed	81	79	7.713157970858528	Debate	5.744311199590792	Online Classes	Average	Stable
female	Uneducated	incomplete	81	83	1.0064974472792698	Debate	8.048532533588133	Research	Average	Anxious
female	Associate’s Degree	incomplete	64	59	4.3856295427656935	Music	7.231899807714655	Online Classes	Poor	Stressed
female	Uneducated	completed	90	88	2.187521678970147	Sports	7.933871119068963	Research	Good	Anxious
